$02
01
Handheld device version M2.00.05
Sat Nov 11 03:41:43 2023
DCU3ER Id: 010552  [Probe Type; 11 FLUSH / BAND 020]
Time, Date, Loss (nm), Temperature (C)
01:00:01,13/05/23,00051863, 000.0
09:00:01,13/05/23,00052067, 000.0
17:00:01,13/05/23,00052190, 000.0
01:00:01,14/05/23,00052354, 000.0
09:00:01,14/05/23,00052435, 000.0
17:00:01,14/05/23,00051986, 000.0
01:00:01,15/05/23,00052435, 000.0
09:00:01,15/05/23,00052476, 000.0
17:00:01,15/05/23,00052517, 000.0
01:00:01,16/05/23,00052435, 000.0
09:00:01,16/05/23,00052762, 000.0
17:00:01,16/05/23,00052640, 000.0
01:00:01,17/05/23,00052762, 000.0
09:00:01,17/05/23,00053007, 000.0
17:00:01,17/05/23,00052803, 000.0
01:00:01,18/05/23,00052803, 000.0
09:00:01,18/05/23,00052517, 000.0
17:00:01,18/05/23,00052354, 000.0
01:00:01,19/05/23,00052027, 000.0
09:00:01,19/05/23,00052640, 000.0
17:00:01,19/05/23,00052395, 000.0
01:00:01,20/05/23,00052599, 000.0
09:00:01,20/05/23,00053210, 000.0
17:00:01,20/05/23,00052762, 000.0
01:00:01,21/05/23,00052762, 000.0
09:00:01,21/05/23,00052925, 000.0
17:00:01,21/05/23,00052966, 000.0
01:00:01,22/05/23,00052925, 000.0
09:00:01,22/05/23,00052844, 000.0
17:00:01,22/05/23,00052884, 000.0
01:00:01,23/05/23,00053251, 000.0
09:00:01,23/05/23,00053333, 000.0
17:00:01,23/05/23,00053333, 000.0
01:00:01,24/05/23,00053373, 000.0
09:00:01,24/05/23,00053292, 000.0
17:00:01,24/05/23,00053414, 000.0
01:00:01,25/05/23,00053251, 000.0
09:00:01,25/05/23,00053373, 000.0
17:00:01,25/05/23,00053170, 000.0
01:00:01,26/05/23,00053577, 000.0
09:00:01,26/05/23,00053495, 000.0
17:00:01,26/05/23,00053739, 000.0
01:00:01,27/05/23,00053292, 000.0
09:00:01,27/05/23,00053780, 000.0
17:00:01,27/05/23,00053455, 000.0
01:00:01,28/05/23,00053658, 000.0
09:00:01,28/05/23,00053536, 000.0
17:00:01,28/05/23,00053577, 000.0
01:00:01,29/05/23,00053373, 000.0
09:00:01,29/05/23,00053577, 000.0
17:00:01,29/05/23,00053658, 000.0
01:00:01,30/05/23,00053658, 000.0
09:00:01,30/05/23,00053658, 000.0
17:00:01,30/05/23,00053861, 000.0
01:00:01,31/05/23,00053861, 000.0
09:00:01,31/05/23,00053861, 000.0
17:00:01,31/05/23,00053414, 000.0
01:00:01,01/06/23,00053373, 000.0
09:00:01,01/06/23,00053373, 000.0
