"Instrument Name","Timestamp UTC","Ambient Temp [C]","Battery [V]","0000_Serial","0000_Thick [мм]","0000_Qual","0000_Temp [C]","0002_Serial","0002_Thick [мм]","0002_Qual","0002_Temp [C]","0004_Serial","0004_Thick [мм]","0004_Qual","0004_Temp [C]"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:34:24",null,null,"2019-02298","7.93794",4,"38.8","2019-02289","8.19897",4,"38","2019-02297","7.9627",3,"39.5"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:34:29",null,null,"2019-02298","7.93791",4,"38.8","2019-02289","8.19897",4,"38","2019-02297","7.96299",3,"39.5"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:34:34",null,null,"2019-02298","7.93791",4,"38.8","2019-02289","8.19897",4,"38","2019-02297","7.96299",3,"39.6"
"new instrument (Tryba 108 tryboprov 39)","2023-06-20 11:34:38",null,null,"2019-02298","7.93801",4,"38.9","2019-02289","8.19888",4,"38","2019-02297","7.96301",3,"39.5"
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:10",null,null,"2019-02298","7.93803",2,"41.8",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:12",null,null,"2019-02298","7.97684",2,"41.8",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:14",null,null,"2019-02298","7.97687",2,"41.8",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:16",null,null,"2019-02298","7.97687",2,"41.8",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:18",null,null,"2019-02298","7.97687",2,"41.6",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:20",null,null,"2019-02298","7.97678",2,"41.8",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:22",null,null,"2019-02298","7.97687",2,"41.7",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:24",null,null,"2019-02298","7.97683",2,"41.8",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:26",null,null,"2019-02298","7.97687",2,"41.7",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-23 11:40:27",null,null,"2019-02298","7.97684",2,"41.8",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:06",null,null,"2019-02298","7.97684",3,"26.4",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:08",null,null,"2019-02298","7.95995",3,"26.4",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:10",null,null,"2019-02298","7.94396",3,"26.4",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:12",null,null,"2019-02298","7.94396",3,"26.4",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:14",null,null,"2019-02298","7.94396",3,"26.5",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:17",null,null,"2019-02298","7.94398",3,"26.4",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:19",null,null,"2019-02298","7.94396",3,"26.5",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:21",null,null,"2019-02298","7.94398",3,"26.4",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:23",null,null,"2019-02298","7.94396",3,"26.4",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-06-30 07:33:25",null,null,"2019-02298","7.94396",3,"26.5",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:27",null,null,"2019-02298","7.94396",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:29",null,null,"2019-02298","7.97838",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:31",null,null,"2019-02298","7.97852",2,"38.1",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:33",null,null,"2019-02298","7.97838",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:35",null,null,"2019-02298","7.97838",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:37",null,null,"2019-02298","7.97834",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:39",null,null,"2019-02298","7.97833",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:40",null,null,"2019-02298","7.97833",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:42",null,null,"2019-02298","7.97833",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:44",null,null,"2019-02298","7.97829",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:56",null,null,"2019-02298","7.97829",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:29:58",null,null,"2019-02298","7.97846",2,"38.2",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:30:00",null,null,"2019-02298","7.97857",2,"38.1",,,,,,,,
"new instrument (Tryba 108 tryboprov 39)","2023-07-14 12:30:02",null,null,"2019-02298","7.97857",2,"38.1",,,,,,,,
